text,label
Aapka kaam pasand aaya शाबाश Well done,0
Tu pagal hai तेरा दिमाग खराब है you loser,1
Shabaash तुमने अच्छा किया You are amazing,0
Bohot stupid ho हरामी लोगों की कोई जगह नहीं you fool,1
Tum bahut ache ho बहुत बढ़िया Nice effort,0
Chup ho ja गंदी सोच you loser,1
Tum awesome ho तुम बहुत अच्छे हो Superb,0
Tere jaise log बहुत बकवास you fool,1
Tumne accha kiya आपका काम सराहनीय है Nice effort,0
Teri soch hi gandi hai तेरा दिमाग खराब है worst person,1
Tumne accha kiya शाबाश Great job,0
Tu pagal hai बहुत बकवास worst person,1
Aapka kaam pasand aaya बहुत बढ़िया Superb,0
Chup ho ja तेरा दिमाग खराब है you loser,1
Tum bahut ache ho तुम बहुत अच्छे हो You are amazing,0
Kya bakwaas kar rahe ho बहुत बकवास you idiot,1
Shabaash बहुत बढ़िया Superb,0
Bohot stupid ho बहुत बकवास you idiot,1
Tum bahut ache ho बहुत अच्छा किया Well done,0
Bohot stupid ho तू हरामी है you idiot,1
Tum bahut ache ho शाबाश Well done,0
Chup ho ja गंदी सोच you fool,1
Keep it up तुम बहुत अच्छे हो Great job,0
Tu pagal hai बहुत बकवास you loser,1
Aapka kaam pasand aaya तुमने अच्छा किया Well done,0
Apna kaam dekh बहुत बकवास you fool,1
Keep it up तुम बहुत अच्छे हो You are amazing,0
Teri soch hi gandi hai गंदी सोच you fool,1
Tum bahut ache ho तुमने अच्छा किया Nice effort,0
Apna kaam dekh तू हरामी है you fool,1
Keep it up आपका काम सराहनीय है Great job,0
Kya bakwaas kar rahe ho चुप हो जा get lost,1
Aapka kaam pasand aaya शाबाश Great job,0
Bohot stupid ho गंदी सोच worst person,1
Tumne accha kiya तुमने अच्छा किया Superb,0
Bohot stupid ho गंदी सोच you idiot,1
Aapka kaam pasand aaya शाबाश Superb,0
Bohot stupid ho हरामी लोगों की कोई जगह नहीं you fool,1
Tum awesome ho तुम बहुत अच्छे हो Great job,0
Apna kaam dekh हरामी लोगों की कोई जगह नहीं you fool,1
Shabaash शाबाश Proud of you,0
Tere jaise log तू हरामी है shut up,1
Aapka kaam pasand aaya तुम बहुत अच्छे हो Great job,0
Tere jaise log गंदी सोच you fool,1
Shabaash तुमने अच्छा किया Proud of you,0
Tu pagal hai तू लूज़र है you loser,1
Tumne accha kiya आपका काम सराहनीय है Superb,0
Tere jaise log तेरा दिमाग खराब है you idiot,1
Shabaash बहुत अच्छा किया You are amazing,0
Chup ho ja तेरा दिमाग खराब है worst person,1
Tum awesome ho तुम बहुत अच्छे हो Proud of you,0
Apna kaam dekh हरामी लोगों की कोई जगह नहीं shut up,1
Keep it up आपका काम सराहनीय है You are amazing,0
Teri soch hi gandi hai चुप हो जा you loser,1
Shabaash तुमने अच्छा किया Nice effort,0
Kya bakwaas kar rahe ho चुप हो जा worst person,1
Tum bahut ache ho आपका काम सराहनीय है Nice effort,0
Chup ho ja तेरा दिमाग खराब है you idiot,1
Tum bahut ache ho तुमने अच्छा किया Great job,0
Kya bakwaas kar rahe ho तेरा दिमाग खराब है get lost,1
Keep it up शाबाश You are amazing,0
Kya bakwaas kar rahe ho तेरा दिमाग खराब है shut up,1
Shabaash शाबाश Nice effort,0
Tere jaise log चुप हो जा you loser,1
Tum bahut ache ho तुम बहुत अच्छे हो Nice effort,0
Tere jaise log तू हरामी है worst person,1
Aapka kaam pasand aaya आपका काम सराहनीय है Proud of you,0
Kya bakwaas kar rahe ho तू लूज़र है waste of space,1
Tumne accha kiya बहुत अच्छा किया Superb,0
Kya bakwaas kar rahe ho तेरा दिमाग खराब है worst person,1
Tum bahut ache ho आपका काम सराहनीय है Proud of you,0
Tu pagal hai तू लूज़र है you fool,1
Tum bahut ache ho बहुत बढ़िया Well done,0
Apna kaam dekh बहुत बकवास you fool,1
Tumne accha kiya तुमने अच्छा किया You are amazing,0
Tere jaise log तेरा दिमाग खराब है waste of space,1
Aapka kaam pasand aaya तुमने अच्छा किया You are amazing,0
Bohot stupid ho चुप हो जा worst person,1
Tumne accha kiya बहुत अच्छा किया Well done,0
Tu pagal hai चुप हो जा waste of space,1
Keep it up बहुत बढ़िया You are amazing,0
Apna kaam dekh बहुत बकवास waste of space,1
Aapka kaam pasand aaya बहुत बढ़िया Superb,0
Chup ho ja तू हरामी है you idiot,1
Aapka kaam pasand aaya शाबाश Well done,0
Chup ho ja हरामी लोगों की कोई जगह नहीं shut up,1
Tum bahut ache ho बहुत बढ़िया You are amazing,0
Bohot stupid ho हरामी लोगों की कोई जगह नहीं you fool,1
Aapka kaam pasand aaya तुम बहुत अच्छे हो You are amazing,0
Chup ho ja चुप हो जा shut up,1
Shabaash बहुत अच्छा किया Superb,0
Teri soch hi gandi hai तू लूज़र है shut up,1
Tum bahut ache ho बहुत बढ़िया Proud of you,0
Teri soch hi gandi hai हरामी लोगों की कोई जगह नहीं shut up,1
Tumne accha kiya बहुत अच्छा किया Proud of you,0
Apna kaam dekh तेरा दिमाग खराब है you loser,1
Aapka kaam pasand aaya आपका काम सराहनीय है You are amazing,0
Kya bakwaas kar rahe ho बहुत बकवास worst person,1
Tum awesome ho आपका काम सराहनीय है Proud of you,0
Teri soch hi gandi hai हरामी लोगों की कोई जगह नहीं you loser,1
Tum bahut ache ho तुम बहुत अच्छे हो Superb,0
Tu pagal hai तू लूज़र है you idiot,1
Aapka kaam pasand aaya तुमने अच्छा किया Proud of you,0
Kya bakwaas kar rahe ho तू लूज़र है shut up,1
Tum bahut ache ho बहुत बढ़िया Nice effort,0
Apna kaam dekh बहुत बकवास you idiot,1
Tum bahut ache ho शाबाश Well done,0
Tere jaise log तू हरामी है you loser,1
Keep it up आपका काम सराहनीय है Nice effort,0
Teri soch hi gandi hai हरामी लोगों की कोई जगह नहीं you loser,1
Aapka kaam pasand aaya आपका काम सराहनीय है You are amazing,0
Tu pagal hai चुप हो जा get lost,1
Shabaash बहुत अच्छा किया Superb,0
Apna kaam dekh हरामी लोगों की कोई जगह नहीं waste of space,1
Keep it up तुम बहुत अच्छे हो You are amazing,0
Apna kaam dekh तू हरामी है worst person,1
Tumne accha kiya बहुत बढ़िया You are amazing,0
Kya bakwaas kar rahe ho तू लूज़र है you loser,1
Tumne accha kiya बहुत बढ़िया You are amazing,0
Tu pagal hai तू हरामी है shut up,1
Keep it up बहुत अच्छा किया Proud of you,0
Chup ho ja चुप हो जा you loser,1
Keep it up बहुत अच्छा किया Superb,0
Chup ho ja तू हरामी है get lost,1
Keep it up तुमने अच्छा किया Well done,0
Chup ho ja बहुत बकवास waste of space,1
Aapka kaam pasand aaya तुमने अच्छा किया Great job,0
Bohot stupid ho हरामी लोगों की कोई जगह नहीं worst person,1
Keep it up बहुत बढ़िया You are amazing,0
Tu pagal hai तू लूज़र है you idiot,1
Tum awesome ho शाबाश You are amazing,0
Kya bakwaas kar rahe ho तेरा दिमाग खराब है you fool,1
Tumne accha kiya शाबाश Well done,0
Tu pagal hai बहुत बकवास you fool,1
Tum awesome ho बहुत अच्छा किया Well done,0
Bohot stupid ho हरामी लोगों की कोई जगह नहीं shut up,1
Aapka kaam pasand aaya तुम बहुत अच्छे हो You are amazing,0
Tere jaise log गंदी सोच you idiot,1
Tum bahut ache ho आपका काम सराहनीय है Proud of you,0
Tu pagal hai गंदी सोच you idiot,1
Tum bahut ache ho बहुत बढ़िया Great job,0
Kya bakwaas kar rahe ho तू लूज़र है get lost,1
Keep it up बहुत बढ़िया You are amazing,0
Tere jaise log तेरा दिमाग खराब है shut up,1
Tum awesome ho शाबाश Nice effort,0
Apna kaam dekh चुप हो जा worst person,1
Tum awesome ho तुमने अच्छा किया Superb,0
Kya bakwaas kar rahe ho तेरा दिमाग खराब है you fool,1
Aapka kaam pasand aaya बहुत अच्छा किया You are amazing,0
Teri soch hi gandi hai बहुत बकवास you loser,1
Tum awesome ho तुमने अच्छा किया Superb,0
Bohot stupid ho हरामी लोगों की कोई जगह नहीं you fool,1
Tum bahut ache ho आपका काम सराहनीय है Nice effort,0
Tu pagal hai तू लूज़र है get lost,1
Keep it up तुम बहुत अच्छे हो Well done,0
Kya bakwaas kar rahe ho चुप हो जा waste of space,1
Tumne accha kiya आपका काम सराहनीय है Proud of you,0
Tere jaise log गंदी सोच shut up,1
Keep it up तुम बहुत अच्छे हो Proud of you,0
